bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,component,score_count,n_runs,max_tfidf_features,clip_predictions,svd_explained_variance,candidate_universe_size
0,5,0.0016958010263680803,0.0169580102636808,0.002,0.019999999999999993,0.003333333333333333,0.03333333333333334,0.01,0.01,23.48,23.48,Opelo_Stradyon,100,395,100,3000,False,0.1940193341423156,4859
0,5,0.12469919903619088,0.10270152925430913,0.20400000000000001,0.14207694600412338,0.2605,0.17940628796565677,1.02,0.63,16.53,8.52,Captn_Cook,100,79,100,3000,False,0.1940193341423156,4859
0,5,0.03281760903911217,0.07077713780950572,0.054000000000000006,0.10192094381371666,0.06883333333333334,0.13364137396411652,0.27,0.18,19.83,9.35,Dinterdos123,100,83,100,3000,False,0.1940193341423156,4859
0,5,0.09323952116678277,0.11408245017694867,0.14600000000000002,0.1654012568198191,0.16516666666666666,0.17485114721172695,0.73,0.53,48.0,17.9,Ebelha,100,191,100,3000,False,0.1940193341423156,4859
0,5,0.06486270848207001,0.0734500366454396,0.126,0.10882290311521854,0.134,0.11427122322751453,0.63,0.38,35.29,7.28,Moonshyla,100,144,100,3000,False,0.1940193341423156,4859
0,5,0.1143137746256258,0.1416165934438018,0.11,0.13142574813455418,0.24666666666666667,0.34518493229857355,0.55,0.55,60.88,33.29,LocNguyen,100,572,100,3000,False,0.1940193341423156,4859
0,5,0.005396835823797318,0.026603655902394496,0.008,0.03938927711338648,0.0085,0.042076769665155445,0.04,0.04,41.06,26.91,IM_C4,100,228,100,3000,False,0.1940193341423156,4859
0,5,0.0026241015502468357,0.01846124902354874,0.004,0.028141058827257943,0.004,0.028141058827257943,0.02,0.02,34.29,9.94,HumanRat,100,161,100,3000,False,0.1940193341423156,4859
0,5,0.03614046438541305,0.08478734297061667,0.034,0.07550503361372739,0.08449999999999999,0.21548180296119532,0.17,0.17,27.24,5.73,KSTTK,100,138,100,3000,False,0.1940193341423156,4859
0,5,0.3756020701369399,0.11912020118669177,0.484,0.1561661896438496,0.3466666666666666,0.09818784534852727,2.42,2.42,15.44,15.44,DaiShi57,100,190,100,3000,False,0.1940193341423156,4859
0,5,0.023473209753905024,0.053333807953438915,0.034,0.07550503361372737,0.040999999999999995,0.09321601573348642,0.17,0.16,32.02,12.67,dareggon,100,145,100,3000,False,0.1940193341423156,4859
0,5,0.07537120663927749,0.11283749295061479,0.11200000000000002,0.14858252816790973,0.17116666666666666,0.2472730625286563,0.56,0.33,18.79,7.16,pensa89,100,92,100,3000,False,0.1940193341423156,4859
0,5,0.01747638710141006,0.06100013698631717,0.018000000000000002,0.05752469825293228,0.03933333333333333,0.15735824147980354,0.09,0.09,32.63,17.87,MarnikBe,100,163,100,3000,False,0.1940193341423156,4859
0,5,0.06371758668106188,0.09306466387689727,0.07,0.09999999999999999,0.13216666666666665,0.2005359681528674,0.35,0.35,90.2,39.17,Edison-great,100,459,100,3000,False,0.1940193341423156,4859
0,5,0.13626955733907722,0.17242648565876087,0.13,0.15406937962286255,0.28850000000000003,0.3713331383856007,0.65,0.59,23.96,11.67,TheRealist68,100,149,100,3000,False,0.1940193341423156,4859
0,5,0.0681526681483288,0.08827327088141103,0.128,0.15444916786614765,0.12016666666666667,0.13524087916909125,0.64,0.4,45.98,25.59,MeloniaShaby,100,220,100,3000,False,0.1940193341423156,4859
0,5,0.08652456644940106,0.12140821089765197,0.098,0.12869194287761826,0.166,0.255861915621141,0.49,0.48,187.09,26.89,Irseus,100,775,100,3000,False,0.1940193341423156,4859
0,5,0.010496406200987343,0.03577436650810192,0.016,0.05453198486885816,0.016,0.05453198486885816,0.08,0.08,37.86,21.92,AkiAki_Akira,100,234,100,3000,False,0.1940193341423156,4859
0,5,0.045937183298268486,0.07587494283203929,0.05600000000000001,0.09025217197084259,0.08866666666666667,0.15519221635751373,0.28,0.28,85.95,51.45,GrumbleDango,100,488,100,3000,False,0.1940193341423156,4859
0,5,0.4909446801758517,0.15321787933264885,0.5880000000000001,0.18383127969401558,0.48700000000000004,0.06407329557145632,2.94,2.78,106.18,45.76,Vurnox,100,661,100,3000,False,0.1940193341423156,4859
0,5,0.013549600971950149,0.04685486143522252,0.018000000000000002,0.057524698252932265,0.03166666666666666,0.1064554938277283,0.09,0.07,20.45,12.71,xF0x,100,135,100,3000,False,0.1940193341423156,4859
0,5,0.14008715758340992,0.14015604455207895,0.168,0.14694189052791987,0.26916666666666667,0.2623640153359639,0.84,0.72,35.49,19.37,alfalfy,100,161,100,3000,False,0.1940193341423156,4859
0,5,0.30796303311492246,0.2031151791285486,0.3,0.19796949055831606,0.545,0.35232512915345193,1.5,1.41,87.15,16.15,Siipn,100,448,100,3000,False,0.1940193341423156,4859
0,5,0.03991954996286025,0.06297553598399286,0.05800000000000001,0.09120960431441374,0.06433333333333334,0.102604139427264,0.29,0.29,41.49,16.4,Haileytokar,100,198,100,3000,False,0.1940193341423156,4859
0,5,0.008466835543955093,0.033725670710178256,0.012000000000000002,0.0477366513151884,0.013999999999999999,0.055994227696732575,0.06,0.06,27.61,15.48,LoyJoy,200,231,100,3000,False,0.29562264705222047,4859
0,5,0.4504974515118526,0.23462546083260027,0.41200000000000003,0.20854474122094058,0.7693333333333334,0.34023758781418634,2.06,1.9,17.19,8.18,DanteNani2004,200,75,100,3000,False,0.29562264705222047,4859
0,5,0.022875059474141125,0.055036968908510536,0.03,0.07177405625652734,0.040999999999999995,0.10017997272921836,0.15,0.15,41.19,21.31,Kutu_Mastor,200,237,100,3000,False,0.29562264705222047,4859
