bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
-1,5,0.008993326203541064,0.033053305869735566,0.02,0.06666666666666667,0.037333333333333336,0.1395061033143456,0.1,0.03,19.83,9.35,Dinterdos123,83,100,False
-2,5,0.0059533791175515735,0.020612594990123915,0.018000000000000002,0.05752469825293227,0.04066666666666666,0.1592864278760103,0.09,0.0,19.83,9.35,Dinterdos123,83,100,False
-3,5,0.0035148500908780307,0.013130777535331336,0.014000000000000002,0.05128647999524857,0.018833333333333334,0.07440957271604583,0.07,0.0,19.83,9.35,Dinterdos123,83,100,False
-4,5,0.0019268620250139934,0.009545296420684114,0.008,0.039389277113386474,0.009833333333333335,0.04963927113744961,0.04,0.0,19.83,9.35,Dinterdos123,83,100,False
-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,9.35,Dinterdos123,83,100,False
5,10,0.12917656036501646,0.12267455503313582,0.109,0.0877266185143346,0.33180952380952383,0.3676794195410298,1.09,1.07,19.83,9.35,Dinterdos123,83,100,False
6,10,0.12724542354950352,0.12066103799671885,0.109,0.0877266185143346,0.3223373015873016,0.3623285374068262,1.09,1.07,19.83,9.35,Dinterdos123,83,100,False
7,10,0.1253429233868576,0.12041273598556683,0.106,0.08624606564002696,0.3269087301587302,0.3684489546174607,1.06,1.04,19.83,9.35,Dinterdos123,83,100,False
3,10,0.1250218017254453,0.13089906514041674,0.10400000000000001,0.09311663154725407,0.31630555555555556,0.3674032660584162,1.04,1.03,19.83,9.35,Dinterdos123,83,100,False
8,10,0.12202626259571549,0.11754045458056749,0.10300000000000001,0.08581751840181856,0.32439285714285715,0.36877785613211217,1.03,1.01,19.83,9.35,Dinterdos123,83,100,False
9,10,0.12140566986185944,0.11895658940110057,0.10200000000000001,0.08643325211229223,0.3232261904761905,0.3695341236815507,1.02,1.0,19.83,9.35,Dinterdos123,83,100,False
10,10,0.12025722183325384,0.11810043105918767,0.10200000000000001,0.08643325211229223,0.31750396825396826,0.3636149310632167,1.02,1.0,19.83,9.35,Dinterdos123,83,100,False
12,10,0.11929139290535057,0.11730463718396902,0.10099999999999999,0.0846800275785682,0.31585714285714284,0.3631078955468401,1.01,0.99,19.83,9.35,Dinterdos123,83,100,False
13,10,0.11774405401992738,0.1165048266158595,0.099,0.08347866115772863,0.31410714285714286,0.3641096208982635,0.99,0.97,19.83,9.35,Dinterdos123,83,100,False
15,10,0.11663048774238101,0.11518537532941008,0.09700000000000002,0.08097262288308106,0.3157738095238095,0.3645796599599639,0.97,0.95,19.83,9.35,Dinterdos123,83,100,False
17,10,0.1161392546412309,0.11425191789145797,0.09700000000000002,0.08097262288308106,0.31442857142857145,0.36389847913579026,0.97,0.95,19.83,9.35,Dinterdos123,83,100,False
20,10,0.1160167977262332,0.11446956236500497,0.099,0.08225975119502045,0.3073690476190476,0.35669868543630473,0.99,0.97,19.83,9.35,Dinterdos123,83,100,False
18,10,0.115661124688131,0.11503560374340345,0.098,0.08285316206788049,0.30835714285714283,0.35791098973805846,0.98,0.96,19.83,9.35,Dinterdos123,83,100,False
0,10,0.03940403953336795,0.06067144981864714,0.052000000000000005,0.07314024165597863,0.08534126984126984,0.13124810308533386,0.52,0.42,19.83,9.35,Dinterdos123,83,100,False
-1,10,0.009203822851780261,0.02817735200755552,0.018000000000000002,0.045792681696639,0.04519047619047619,0.14097511559997977,0.18,0.05,19.83,9.35,Dinterdos123,83,100,False
-2,10,0.0045124670518951505,0.014010715287809684,0.011000000000000001,0.031446603773522014,0.043166666666666666,0.15961241284579233,0.11,0.0,19.83,9.35,Dinterdos123,83,100,False
-3,10,0.002858851009131529,0.009358460379826062,0.009000000000000001,0.02876234912646614,0.021083333333333332,0.07553080959882,0.09,0.0,19.83,9.35,Dinterdos123,83,100,False
-4,10,0.0015450312905120206,0.006811202804764215,0.005,0.02190429135575903,0.011261904761904761,0.05137859324009632,0.05,0.0,19.83,9.35,Dinterdos123,83,100,False
-5,10,0.0004759838134537911,0.0033499677727367523,0.002,0.01407052941362897,0.0026785714285714286,0.018887141897215617,0.02,0.0,19.83,9.35,Dinterdos123,83,100,False
20,5,0.28036507769195207,0.19202819623415185,0.324,0.19022580946301312,0.516,0.34916060962418327,1.62,1.32,48.0,17.9,Ebelha,191,100,False
18,5,0.2730738789194212,0.19213570991988305,0.316,0.1889471092687319,0.5118333333333333,0.3512307605236864,1.58,1.29,48.0,17.9,Ebelha,191,100,False
17,5,0.2711262706236211,0.1918101449884749,0.316,0.1867964916504839,0.5035000000000001,0.3486087065794976,1.58,1.29,48.0,17.9,Ebelha,191,100,False
15,5,0.2652835366299129,0.18868141088935475,0.31,0.18504708655481245,0.4965,0.34730237458724544,1.55,1.26,48.0,17.9,Ebelha,191,100,False
13,5,0.2543887618578839,0.18276850993729837,0.29600000000000004,0.17633760091072323,0.4836666666666667,0.3424590876463349,1.48,1.21,48.0,17.9,Ebelha,191,100,False
12,5,0.24420928698740238,0.17853448508853043,0.28800000000000003,0.17597061278991039,0.4628333333333333,0.3338451878155643,1.44,1.18,48.0,17.9,Ebelha,191,100,False
10,5,0.2262143146570676,0.1713028478541395,0.274,0.17443704545847713,0.4335,0.3244826236703177,1.37,1.11,48.0,17.9,Ebelha,191,100,False
